地区,新增确诊,现有确诊,累计确诊,累计死亡,数据来源日期
台湾,23115,3872876,3893643,7025,2022/07/05
香港,230,265494,339164,9405,2022/07/05
澳门,18,315,400,2,2022/07/05
安徽,52,186,1251,6,2022/07/05
天津,0,148,2016,3,2022/07/05
吉林,0,121,40293,5,2022/07/05
广东,1,92,7485,8,2022/07/05
上海,3,66,63280,595,2022/07/05
福建,0,58,3465,1,2022/07/05
山东,3,28,2773,7,2022/07/05
江苏,0,25,2267,0,2022/07/05
内蒙古,0,21,2104,1,2022/07/05
重庆,0,20,743,6,2022/07/05
陕西,7,20,3345,3,2022/07/05
北京,3,19,3689,9,2022/07/05
云南,0,15,2177,2,2022/07/05
四川,0,15,2379,3,2022/07/05
浙江,0,12,3162,1,2022/07/05
江西,0,8,1393,1,2022/07/05
湖北,0,3,68403,4512,2022/07/05
海南,0,3,291,6,2022/07/05
湖南,0,2,1401,4,2022/07/05
河南,0,1,3184,22,2022/07/05
甘肃,0,1,682,2,2022/07/05
辽宁,0,1,1719,2,2022/07/05
山西,0,1,424,0,2022/07/05
河北,0,0,2007,7,2022/07/05
西藏,0,0,1,0,2022/07/05
黑龙江,0,0,2988,13,2022/07/05
广西,0,0,1649,2,2022/07/05
贵州,0,0,185,2,2022/07/05
宁夏,0,0,122,0,2022/07/05
新疆,0,0,1008,3,2022/07/05
青海,0,0,147,0,2022/07/05
