新增确诊病例,新增本土病例,新增境外病例,新增无症状病例,现有确诊病例,现有本土病例,现有境外病例,现有无症状病例,累计确诊病例,累计境外病例,累计治愈,累计死亡,数据来源日期
62164,25,6,140,2650195,971,208,5265,2962016,18776,294270,17551,2022/06/06
80224,53,17,170,2865667,715,191,3505,3178526,18834,294871,17988,2022/06/09
73041,30,15,106,2938292,601,194,3058,3251567,18849,295075,18200,2022/06/10
68502,65,14,131,3006433,595,191,2798,3320069,18863,295223,18413,2022/06/11
50797,69,20,131,3136513,690,196,2396,3450756,18895,295456,18787,2022/06/13
69180,42,22,111,3316713,727,221,1804,3631648,18975,295771,19164,2022/06/16
63387,23,31,103,3379827,715,236,1652,3695035,19006,295876,19332,2022/06/17
33033,41,31,388,4116017,233,299,1552,4435767,19485,298161,21589,2022/07/04
23475,69,43,306,4139295,295,315,1774,4459242,19528,298289,21658,2022/07/05
36536,112,29,286,4175610,403,321,1951,4495778,19557,298407,21761,2022/07/06
35220,94,30,285,4210580,479,330,2106,4530998,19587,298561,21857,2022/07/07
32021,47,50,381,4242335,513,357,2403,4563019,19637,298721,21963,2022/07/08
31024,67,45,343,4273058,559,379,2666,4594043,19682,298888,22097,2022/07/09
28751,65,36,319,4301560,607,397,2876,4622794,19718,299043,22191,2022/07/10
